source,elapsed_min,total_free_mb,largest_free_mb,script_heap_mb
Long run stress.txt,0.0,2604,2044,0
Long run stress.txt,0.03371666666668413,2519,2044,0
Long run stress.txt,0.06738333333335807,2493,2044,0
Long run stress.txt,0.10145000000005287,2363,2044,0
Long run stress.txt,0.1357333333333372,2140,1980,0
Long run stress.txt,0.16973333333335178,2124,1964,0
Long run stress.txt,0.20353333333338622,1825,1704,40
Long run stress.txt,0.23730000000001988,1825,1704,40
Long run stress.txt,0.27105000000004414,1830,1704,40
Long run stress.txt,0.30481666666667784,1830,1704,40
Long run stress.txt,0.33881666666669236,1830,1704,43
Long run stress.txt,0.3726166666667268,1830,1704,43
Long run stress.txt,0.4063666666666904,1830,1704,51
Long run stress.txt,0.4401333333333847,1830,1704,69
Long run stress.txt,0.4739333333333586,1834,1704,78
Long run stress.txt,0.507733333333393,1835,1704,78
Long run stress.txt,0.5415000000000266,1835,1704,86
Long run stress.txt,0.575266666666721,1835,1704,89
Long run stress.txt,0.6090666666666948,1835,1704,90
Long run stress.txt,0.6428166666667191,1833,1704,98
Long run stress.txt,0.6766000000000228,1808,1704,98
Long run stress.txt,0.7104000000000572,1804,1704,98
Long run stress.txt,0.7442833333333814,1807,1704,98
Long run stress.txt,0.7781333333333653,1816,1704,98
Long run stress.txt,0.8120333333333595,1794,1688,98
Long run stress.txt,0.8459166666666836,1794,1688,107
Long run stress.txt,0.879866666666688,1761,1656,133
Long run stress.txt,0.9137500000000122,1728,1624,158
Long run stress.txt,0.9476166666667268,1728,1624,175
Long run stress.txt,0.981516666666721,1728,1624,184
Long run stress.txt,1.0166333333333872,1695,1592,192
Long run stress.txt,1.1183500000000397,1696,1592,201
Long run stress.txt,1.2202833333333425,1588,1497,209
Long run stress.txt,1.2543500000000374,1555,1466,209
Long run stress.txt,1.288716666666672,1492,1418,209
Long run stress.txt,1.3228000000000368,1492,1418,209
Long run stress.txt,1.356900000000011,1484,1418,209
Long run stress.txt,1.4250500000000101,1476,1418,209
Long run stress.txt,1.4591333333333751,1467,1410,209
Long run stress.txt,1.4932333333333494,1450,1402,209
Long run stress.txt,1.527300000000044,1446,1402,209
Long run stress.txt,1.5954666666667132,1445,1402,209
Long run stress.txt,1.6295666666666875,1444,1402,209
Long run stress.txt,1.663700000000002,1443,1402,209
Long run stress.txt,1.6977833333333667,1433,1394,209
Long run stress.txt,1.7319500000000214,1419,1386,209
Long run stress.txt,1.7660333333333862,1401,1370,209
Long run stress.txt,1.8001333333333605,1376,1352,209
Long run stress.txt,1.834283333333345,1361,1338,209
Long run stress.txt,1.8684166666667201,1356,1335,209
Long run stress.txt,1.9025666666667045,1333,1313,209
Long run stress.txt,1.936716666666689,1319,1296,209
Long run stress.txt,1.9708333333333334,1337,1296,209
Long run stress.txt,2.004916666666698,1337,1296,209
Long run stress.txt,2.0402000000000045,1305,1264,209
Long run stress.txt,2.142566666666668,1304,1264,209
Long run stress.txt,2.176666666666703,1307,1264,209
Long run stress.txt,2.2108000000000176,1314,1264,209
Long run stress.txt,2.347250000000046,1314,1264,209
Long run stress.txt,2.4496166666667096,1313,1264,209
Long run stress.txt,2.483883333333385,1192,1167,209
Long run stress.txt,2.6889333333333827,1192,1167,209
Long run stress.txt,2.825600000000001,1184,1159,209
Long run stress.txt,3.0307500000000194,1182,1158,209
Long run stress.txt,3.0660666666667264,1181,1154,209
Long run stress.txt,3.100250000000051,1180,1154,209
Long run stress.txt,3.1344500000000455,1084,1061,209
Long run stress.txt,3.16863333333337,1073,1051,209
Long run stress.txt,3.3738166666666682,1073,1051,209
Long run stress.txt,3.408000000000053,1076,1040,209
Long run stress.txt,3.442166666666708,1077,1040,209
Long run stress.txt,3.4763833333333727,1071,1040,209
Long run stress.txt,3.579100000000047,1053,1026,209
Long run stress.txt,3.613350000000052,1055,1015,209
Long run stress.txt,3.6475500000000465,1061,1015,209
Long run stress.txt,3.6817666666667113,1063,1024,209
Long run stress.txt,3.716000000000046,1067,1032,209
Long run stress.txt,3.7844500000000454,1061,1032,209
Long run stress.txt,3.8186500000000403,1060,1032,209
Long run stress.txt,3.852866666666705,1043,982,209
Long run stress.txt,3.8871000000000397,1039,982,209
Long run stress.txt,3.9213333333333744,1009,967,209
Long run stress.txt,3.955550000000039,1021,967,209
